session,clip,anchor,geometry,zivid_stem,depth_exists
2025_03_06-16_49_40,Clip_1,start,pointcloud/1741276188_724794149.ply,1741276188_724794149,True
2025_03_06-16_49_40,Clip_1,end,pointcloud/1741276211_075928688.ply,1741276211_075928688,True
2025_03_06-16_53_09,Clip_1,start,pointcloud/1741276395_576524019.ply,1741276395_576524019,True
2025_03_06-16_53_09,Clip_1,end,pointcloud/1741276413_286517620.ply,1741276413_286517620,True
2025_03_06-16_54_09,Clip_1,start,pointcloud/1741276454_627159595.ply,1741276454_627159595,True
2025_03_06-16_54_09,Clip_1,end,pointcloud/1741276472_502774477.ply,1741276472_502774477,True
2025_03_06-16_56_00,Clip_1,start,pointcloud/1741276567_518405675.ply,1741276567_518405675,True
2025_03_06-16_56_00,Clip_1,end,pointcloud/1741276586_148978948.ply,1741276586_148978948,True
2025_03_06-16_56_00,Clip_2,start,pointcloud/1741276586_148978948.ply,1741276586_148978948,True
2025_03_06-16_56_00,Clip_2,end,pointcloud/1741276596_865361928.ply,1741276596_865361928,True
2025_03_06-16_56_00,Clip_3,start,pointcloud/1741276596_865361928.ply,1741276596_865361928,True
2025_03_06-16_56_00,Clip_3,end,pointcloud/1741276607_357194662.ply,1741276607_357194662,True
2025_03_06-16_56_00,Clip_4,start,pointcloud/1741276607_357194662.ply,1741276607_357194662,True
2025_03_06-16_56_00,Clip_4,end,pointcloud/1741276618_141574144.ply,1741276618_141574144,True
2025_03_06-16_56_00,Clip_5,start,pointcloud/1741276618_141574144.ply,1741276618_141574144,True
2025_03_06-16_56_00,Clip_5,end,pointcloud/1741276628_063374996.ply,1741276628_063374996,True
2025_03_06-17_03_37,Clip_1,start,pointcloud/1741277039_007572174.ply,1741277039_007572174,True
2025_03_06-17_03_37,Clip_1,end,pointcloud/1741277054_434041738.ply,1741277054_434041738,True
2025_03_06-17_04_37,Clip_1,start,pointcloud/1741277089_284454822.ply,1741277089_284454822,True
2025_03_06-17_04_37,Clip_1,end,pointcloud/1741277102_290013551.ply,1741277102_290013551,True
2025_03_06-17_04_37,Clip_2,start,pointcloud/1741277102_290013551.ply,1741277102_290013551,True
2025_03_06-17_04_37,Clip_2,end,pointcloud/1741277116_963329076.ply,1741277116_963329076,True
2025_03_06-17_04_37,Clip_3,start,pointcloud/1741277116_963329076.ply,1741277116_963329076,True
2025_03_06-17_04_37,Clip_3,end,pointcloud/1741277161_764558315.ply,1741277161_764558315,True
2025_03_06-17_04_37,Clip_4,start,pointcloud/1741277161_764558315.ply,1741277161_764558315,True
2025_03_06-17_04_37,Clip_4,end,pointcloud/1741277171_756317138.ply,1741277171_756317138,True
2025_03_06-17_04_37,Clip_5,start,pointcloud/1741277171_756317138.ply,1741277171_756317138,True
2025_03_06-17_04_37,Clip_5,end,pointcloud/1741277180_996209144.ply,1741277180_996209144,True
2025_03_06-17_10_48,Clip_1,start,pointcloud/1741277458_674827337.ply,1741277458_674827337,True
2025_03_06-17_10_48,Clip_1,end,pointcloud/1741277472_080817461.ply,1741277472_080817461,True
2025_03_06-17_33_33,Clip_1,start,pointcloud/1741278820_332585573.ply,1741278820_332585573,True
2025_03_06-17_33_33,Clip_1,end,pointcloud/1741278834_709795713.ply,1741278834_709795713,True
2025_03_06-17_35_04,Clip_1,start,pointcloud/1741278916_820366382.ply,1741278916_820366382,True
2025_03_06-17_35_04,Clip_1,end,pointcloud/1741278931_964792490.ply,1741278931_964792490,True
2025_03_06-17_36_19,Clip_1,start,pointcloud/1741278986_750266551.ply,1741278986_750266551,True
2025_03_06-17_36_19,Clip_1,end,pointcloud/1741278996_390722036.ply,1741278996_390722036,True
2025_03_06-17_36_19,Clip_2,start,pointcloud/1741278996_390722036.ply,1741278996_390722036,True
2025_03_06-17_36_19,Clip_2,end,pointcloud/1741279006_791004419.ply,1741279006_791004419,True
2025_03_06-17_36_19,Clip_3,start,pointcloud/1741279006_791004419.ply,1741279006_791004419,True
2025_03_06-17_36_19,Clip_3,end,pointcloud/1741279020_443862676.ply,1741279020_443862676,True
2025_03_06-17_36_19,Clip_4,start,pointcloud/1741279020_443862676.ply,1741279020_443862676,True
2025_03_06-17_36_19,Clip_4,end,pointcloud/1741279030_392617702.ply,1741279030_392617702,True
2025_03_06-17_38_21,Clip_1,start,pointcloud/1741279107_913486480.ply,1741279107_913486480,True
2025_03_06-17_38_21,Clip_1,end,pointcloud/1741279119_013385534.ply,1741279119_013385534,True
2025_03_06-17_38_21,Clip_2,start,pointcloud/1741279119_013385534.ply,1741279119_013385534,True
2025_03_06-17_38_21,Clip_2,end,pointcloud/1741279127_792181253.ply,1741279127_792181253,True
2025_03_06-17_38_21,Clip_3,start,pointcloud/1741279127_792181253.ply,1741279127_792181253,True
2025_03_06-17_38_21,Clip_3,end,pointcloud/1741279136_934046506.ply,1741279136_934046506,True
2025_03_06-17_38_21,Clip_4,start,pointcloud/1741279136_934046506.ply,1741279136_934046506,True
2025_03_06-17_38_21,Clip_4,end,pointcloud/1741279148_280923366.ply,1741279148_280923366,True
2025_03_06-17_38_21,Clip_5,start,pointcloud/1741279148_280923366.ply,1741279148_280923366,True
2025_03_06-17_38_21,Clip_5,end,pointcloud/1741279158_108284473.ply,1741279158_108284473,True
2025_03_06-17_39_51,Clip_1,start,pointcloud/1741279197_413602590.ply,1741279197_413602590,True
2025_03_06-17_39_51,Clip_1,end,pointcloud/1741279208_750672817.ply,1741279208_750672817,True
2025_03_06-17_39_51,Clip_2,start,pointcloud/1741279208_750672817.ply,1741279208_750672817,True
2025_03_06-17_39_51,Clip_2,end,pointcloud/1741279216_497161149.ply,1741279216_497161149,True
2025_03_06-17_39_51,Clip_3,start,pointcloud/1741279216_497161149.ply,1741279216_497161149,True
2025_03_06-17_39_51,Clip_3,end,pointcloud/1741279225_423369169.ply,1741279225_423369169,True
2025_03_06-17_39_51,Clip_4,start,pointcloud/1741279225_423369169.ply,1741279225_423369169,True
2025_03_06-17_39_51,Clip_4,end,pointcloud/1741279235_328621387.ply,1741279235_328621387,True
2025_03_06-17_39_51,Clip_5,start,pointcloud/1741279235_328621387.ply,1741279235_328621387,True
2025_03_06-17_39_51,Clip_5,end,,,False
2025_03_06-17_43_05,Clip_1,start,pointcloud/1741279396_989294052.ply,1741279396_989294052,True
2025_03_06-17_43_05,Clip_1,end,pointcloud/1741279422_394422054.ply,1741279422_394422054,True
2025_03_06-17_46_07,Clip_1,start,pointcloud/1741279573_146444320.ply,1741279573_146444320,True
