dataset_id,keyframe_id,frame_id,left_path,right_path,depth_float32_path,disparity_float32_path,valid_mask_path,calibration_path,valid_pixel_ratio,depth_median_mm,depth_p95_mm,disp_median_px,disp_p95_px,notes
dataset_1,keyframe_1,0,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000000.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000000.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000000.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000000.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000000.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000000.json,0.7380203247070313,58.959075927734375,75.27852630615234,78.73625946044922,89.49723052978516,
dataset_1,keyframe_1,10,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000010.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000010.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000010.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000010.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000010.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000010.json,0.6991928100585938,61.85590362548828,77.97301483154297,75.04888916015625,85.00283813476562,
dataset_1,keyframe_1,20,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000020.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000020.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000020.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000020.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000020.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000020.json,0.6915550231933594,63.657470703125,79.21552276611328,72.92494201660156,83.11017608642578,
dataset_1,keyframe_1,30,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000030.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000030.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000030.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000030.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000030.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000030.json,0.6583503723144531,65.38424682617188,80.86455535888672,70.99901580810547,80.5326919555664,
dataset_1,keyframe_1,40,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000040.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000040.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000040.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000040.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000040.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000040.json,0.6348129272460937,66.67483520507812,82.16383361816406,69.62472534179688,78.74363708496094,
dataset_1,keyframe_1,50,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000050.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000050.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000050.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000050.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000050.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000050.json,0.623077392578125,67.234619140625,81.4522476196289,69.0450439453125,77.98015594482422,
dataset_1,keyframe_1,60,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000060.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000060.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000060.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000060.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000060.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000060.json,0.6068069458007812,68.74298858642578,85.72880554199219,67.53004455566406,75.7979965209961,
dataset_1,keyframe_1,70,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000070.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000070.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000070.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000070.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000070.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000070.json,0.5898918151855469,69.96236419677734,88.79619598388672,66.35306549072266,74.11809539794922,
dataset_1,keyframe_1,80,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000080.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000080.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000080.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000080.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000080.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000080.json,0.5808418273925782,70.44071197509766,89.16061401367188,65.90247344970703,73.49991607666016,
dataset_1,keyframe_1,90,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Left_rectified/frame_000090.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Right_rectified/frame_000090.png,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/DepthL_float32/frame_000090.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/Disparity_float32/frame_000090.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Reference_SCARED_Warped/ValidMask/frame_000090.npy,stereo/Fast-FoundationStereo/data/surgical_stereo/scared_warped/dataset_1/keyframe_1/Rectified_calibration/frame_000090.json,0.5736404418945312,70.872314453125,89.84968566894531,65.50113677978516,73.08067321777344,
