anchor_id,reason
specimen_1__2025_03_06-16_49_40__Clip_1__end,context_frame_missing_right
specimen_1__2025_03_06-16_56_00__Clip_4__end,context_frame_missing_right
specimen_1__2025_03_06-16_56_00__Clip_5__start,context_frame_missing_right
specimen_1__2025_03_06-17_46_07__Clip_1__end,missing_right_view
specimen_1__2025_03_06-17_46_07__Clip_2__start,missing_right_view
specimen_1__2025_03_06-17_43_05__Clip_1__end,context_frame_missing_right
specimen_1__2025_03_06-17_51_03__Clip_1__start,context_frame_missing_right
specimen_1__2025_03_06-17_39_51__Clip_4__end,context_frame_missing_right
specimen_1__2025_03_06-17_39_51__Clip_5__start,context_frame_missing_right
specimen_1__2025_03_06-17_38_21__Clip_5__end,context_frame_missing_right
