flow_model_for_warp,backbone,sequence_id,current_frame,coverage_threshold,k,method,selected_ages,weights,epe_raw_common_cache_px,epe_candidate_common_cache_px,memory_epe_cache_px,common_valid_count,common_valid_ratio,epe_raw_native_px,epe_memory_native_px,native_valid_count,native_valid_ratio,improves_over_raw,clean_pixel_degradation_ratio,oracle_best_memory_per_pixel_epe,oracle_raw_or_memory_per_pixel_epe,oracle_best_memory_per_region_epe,oracle_gain_over_raw,notes
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.05,1,t_minus_1_only,1,1.0000,3.974390745162964,3.9910624027252197,3.9910624027252197,21547,0.8312885802469135,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,3.9714410305023193,3.953808069229126,3.989412784576416,0.02058267593383789,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.25,1,t_minus_1_only,1,1.0000,3.515988826751709,3.5308380126953125,3.5308380126953125,20058,0.7738425925925926,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,3.5117321014404297,3.495789051055908,3.527892589569092,0.02019977569580078,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.5,1,t_minus_1_only,1,1.0000,2.627869129180908,2.6401031017303467,2.6401031017303467,16075,0.6201774691358025,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,2.621464252471924,2.6081998348236084,2.6370034217834473,0.019669294357299805,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.9,1,t_minus_1_only,1,1.0000,0.4873952865600586,0.5049254298210144,0.5049254298210144,97,0.003742283950617284,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,0.49153387546539307,0.47471916675567627,0.49947285652160645,0.012676119804382324,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.05,1,uniform_all,1;2;4;8;16,0.2000;0.2000;0.2000;0.2000;0.2000,3.974390745162964,4.113664150238037,4.113664150238037,21547,0.8312885802469135,1.2162922620773315,1.4550669193267822,630184,0.480792236328125,False,0.0,3.9714410305023193,3.953808069229126,3.989412784576416,0.02058267593383789,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.25,1,uniform_all,1;2;4;8;16,0.2000;0.2000;0.2000;0.2000;0.2000,3.515988826751709,3.6443991661071777,3.6443991661071777,20058,0.7738425925925926,1.2162922620773315,1.4550669193267822,630184,0.480792236328125,False,0.0,3.5117321014404297,3.495789051055908,3.527892589569092,0.02019977569580078,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.5,1,uniform_all,1;2;4;8;16,0.2000;0.2000;0.2000;0.2000;0.2000,2.627869129180908,2.726412057876587,2.726412057876587,16075,0.6201774691358025,1.2162922620773315,1.4550669193267822,630184,0.480792236328125,False,0.0,2.621464252471924,2.6081998348236084,2.6370034217834473,0.019669294357299805,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.9,1,uniform_all,1;2;4;8;16,0.2000;0.2000;0.2000;0.2000;0.2000,0.4873952865600586,0.5830230712890625,0.5830230712890625,97,0.003742283950617284,1.2162922620773315,1.4550669193267822,630184,0.480792236328125,False,0.0,0.49153387546539307,0.47471916675567627,0.49947285652160645,0.012676119804382324,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.05,1,ppmstereo_original_score_topk,1,1.0000,3.974390745162964,3.9910624027252197,3.9910624027252197,21547,0.8312885802469135,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,3.9714410305023193,3.953808069229126,3.989412784576416,0.02058267593383789,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
SEA-RAFT,S2M2-S,dataset_3_keyframe_1,000033,0.25,1,ppmstereo_original_score_topk,1,1.0000,3.515988826751709,3.5308380126953125,3.5308380126953125,20058,0.7738425925925926,1.2162922620773315,1.2634624242782593,630184,0.480792236328125,False,0.0,3.5117321014404297,3.495789051055908,3.527892589569092,0.02019977569580078,PPMStereo scoring/top-k math evaluated with a deterministic untrained ARGOS feature adapter; full flash_attn readout not isolated
