run_id,architecture,history_mode,rgb,warp_loss,flow_convention,mask_convention,gate_bias,safety_weight,sparsity_weight,seed,training_steps,checkpoint,metrics_files,logs_present,status,validity,reason
validation_flow_mask,validation,,,,target_to_source_verified,warped_prev_valid+current+inbounds+occ,,,,,0,,flow_mask_validation.json,logs/nvds_valflow.log,complete,VALID_PARTIAL,Correctness validation only; 24 SCARED pairs; photometric bwd flow best.
validation_causal_gradient,validation,full/current/shuffled,,,cached_target_to_source,training_mask_checked,0.0 current code,0.2 current code,0.02 current code,0,0,,causal_leakage_tests.json; gradient_graph_validation.json,,complete,VALID_PARTIAL,Functional causality and gradient graph validation only.
validation_identity_runtime_A_seed0_300step,nvds_lite,full_history,true,1.0,target_to_source_cached,warped_prev_valid,0.0,0.2,0.02,0,300,,identity_departure_validation.json; runtime_validation.json,,complete,VALID_PARTIAL,Diagnostic confirms departure from identity and runtime; not a final comparable run; validation geometry worsened.
timing/A__nvds_lite__rgb1__full_history__clip8__seed0,nvds_lite,full_history,true,1.0,target_to_source_cached,warped_prev_valid,0.0,0.2,0.02,0,100,best.pt present in timing run,config.json; train_log.csv,logs/nvds_timing.log,complete,VALID_PARTIAL,Timing/short run only; near-identity; not enough to answer NVDS-lite question.
nvds_smoke_all_configs,A-F smoke,mixed,mixed,mixed,old/unclear,pre-current audit,-2.0 old,0.5,0.05,0,20,,,logs/nvds_smoke.log,complete,STALE_IDENTITY_COLLAPSE_SETUP,Old conservative setup; modified_pixel_ratio=0 in logged outputs.
nvds_validate_all_A_B_seed0_150step,nvds_lite,full_history,true,A=1/B=0,old/unclear,pre-current audit,-2.0 old,0.5,0.05,0,150,,,logs/nvds_validate_all.log,complete,STALE_IDENTITY_COLLAPSE_SETUP,Old conservative setup; modified_pixel_ratio=0; not comparable to fixed setup.
nvds_diag_pilot_A_seed0,nvds_lite,full_history,true,1.0,target_to_source_cached,warped_prev_valid likely,old/unclear in log,old/unclear,old/unclear,0,600 before crash,,,logs/nvds_diag_pilot.log,failed,FAILED_OTHER,FileNotFoundError when writing config.json plus shell typo; no reusable config/checkpoint.
nvds_matrix,matrix,mixed,mixed,mixed,unknown,unknown,,,,mixed,0,,,logs/nvds_matrix.log,terminated,INCOMPLETE,Terminated after dispatch; no outputs.
nvds_matrix_g0,matrix subset,A/B/C intended,mixed,mixed,target_to_source_cached,warped_prev_valid,0.0,0.2,0.02,0,0,,,logs/nvds_matrix_g0.log,incomplete,INCOMPLETE,Loaded shards then finished; no config outputs.
nvds_matrix_g1_D_seed0_log_only,nvds_lite,current_frame_only,true,1.0,target_to_source_cached,warped_prev_valid,0.0,0.2,0.02,0,1200,missing/not found,log JSON only,logs/nvds_matrix_g1.log,log_complete_no_artifact,INCOMPLETE,"Log contains D seed0 metrics, but no output directory/config/checkpoint exists; not reusable."
local_argos_v2_matrix_g0_g1,matrix subset,mixed,mixed,mixed,target_to_source_cached,warped_prev_valid,0.0,0.2,0.02,mixed,0,,,logs/argos_v2_nvds_matrix_g*.local.out,failed/incomplete,FAILED_OTHER,Launched locally on login in prior attempt; only loaded shards; no config outputs; should not be used.
