file,component,behavior,matches_sota,potential_issue,recommended_action
scripts/temporal_refinement/nvds_lite_causal/build_aux_cache.py,main/cache builder,Stores rgb plus warp_flow[t-1]=RAFT(img[t] -> img[t-1]) and occ in frame t.,yes,Cache is large (7.9G) and untracked; keep only during pilot.,Reuse cache; do not commit it.
scripts/temporal_refinement/nvds_lite_causal/validate_flow.py,flow validation,"Compares no-warp, fwd, bwd photometric/disparity motion compensation on 24 SCARED pairs.",mostly,JSON string field cache_flow_stored still says fwd even though decision and builder use bwd/target-to-source.,Later rename/comment field to avoid confusion; no scientific rerun needed.
scripts/temporal_refinement/nvds_lite_causal/train_nvds_lite.py,warp_with_support,Backward grid sampling output(p)=source(p+flow(p)); returns in-bounds mask.,yes,None identified for direction/scaling at target resolution.,Reuse for aligned-local-only.
scripts/temporal_refinement/nvds_lite_causal/train_nvds_lite.py,clip_losses warp support,"Warp loss support uses current valid, warped previous valid, in-bounds, occ, and border margin.",yes,Border mask excludes edges; document consistently.,Keep; audit says mask convention corrected.
scripts/temporal_refinement/nvds_lite_causal/model.py,LocalCorrMatcher,"Low-memory local correlation over displacement slices, avoids [B,K,C,H,W] materialisation.",yes as NVDS-lite baseline,"This is non-propagating local correlation, not final BiDA-style aligned propagation.",Close as baseline; do not expand into main architecture.
scripts/temporal_refinement/nvds_lite_causal/model.py,hist_indices,full_history uses past clamped; current-only self-matches; shuffled samples past frames and pads early missing history with current frame.,mostly,Early shuffled frames include current frame when past pool is shorter than 3; causal but weakens shuffled corruption for first frames.,Accept for minimal closure or document; do not use future frames.
scripts/temporal_refinement/nvds_lite_causal/model.py,FusionHead init,"Residual head zero-init, gate bias 0.0, residual bound 3px.",yes,Gate starts at 0.5 but residual zero means exact identity at step 0; diagnostic shows it can depart.,Use corrected setup; monitor safety.
scripts/temporal_refinement/nvds_lite_causal/train_nvds_lite.py,CONFIGS A-F,"A full RGB-D; B no warp; C disparity-only; D current-only; E shuffled; F concat baseline. lam_safe=0.2, lam_sparse=0.02.",yes for NVDS-lite closure,Old 18-run default is heavier than necessary under updated SOTA plan.,Run minimal one-seed closure first.
scripts/temporal_refinement/nvds_lite_causal/train_nvds_lite.py,eval_sequences,Non-overlapping clip_len windows; model history resets every 8 frames.,no for final eval,Artificial reset can bias temporal metrics and does not match proper causal streaming/sliding evaluation.,"Before closure metrics, add/use a streaming/sliding evaluator. This is the smallest code gap."
scripts/temporal_refinement/nvds_lite_causal/run_matrix.py,matrix driver,Loads train/val/test shards once and runs requested configs/seeds.,execution helper only,Existing attempts produced incomplete artifacts; LSF launch pattern needs cleanup.,Use only after minimal plan is fixed; do not launch from login background.
scripts/temporal_refinement/nvds_lite_causal/validate_causal_and_grad.py,causality/grad validation,Perturbs future inputs; validates gradients and no RAFT/S2M2 graph participation.,yes,Needs re-run only after model/evaluator changes.,Keep as regression test.
scripts/temporal_refinement/nvds_lite_causal/validate_identity_runtime.py,identity/runtime diagnostic,Runs short training and records gate/residual departure plus runtime/VRAM.,diagnostic,Uncommitted diagnostic helper; not part of core science.,Useful for smoke only; document if kept.
