sequence_id,frame_id,frame_index,previous_frame_id,next_frame_id,target_path,frame_offset,target_h,target_w,valid_ratio_lowres,valid_pixels_lowres,raw_disp_mae_lowres,raw_bad_1px_lowres,raw_bad_3px_lowres,delta_mean,delta_abs_mean,delta_abs_p95,runtime_ms,shard_size_bytes
dataset_1_keyframe_1,000000,0,,000001,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,0,256,320,0.95462646484375,78203,0.9866517186164856,39.196706008720895,2.3630807002288914,-0.8423573970794678,0.9866517186164856,2.4375,1471.4782489463687,33923325
dataset_1_keyframe_1,000001,1,000000,000002,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,1,256,320,0.95279541015625,78053,1.09893000125885,45.87139507770361,3.1760470449566323,-0.9805912971496582,1.09893000125885,2.6875,58.21823701262474,33923325
dataset_1_keyframe_1,000002,2,000001,000003,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,2,256,320,0.9519775390625,77986,1.1338841915130615,47.682917446721206,3.563460108224553,-1.035313606262207,1.1338841915130615,2.75,57.84469889476895,33923325
dataset_1_keyframe_1,000003,3,000002,000004,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,3,256,320,0.94715576171875,77591,1.126391053199768,47.70011985926203,3.2220231727906583,-1.0477592945098877,1.126391053199768,2.6875,57.923977030441165,33923325
dataset_1_keyframe_1,000004,4,000003,000005,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,4,256,320,0.94637451171875,77527,1.0853577852249146,45.19844699266062,2.8660982625407923,-0.9801145792007446,1.0853577852249146,2.625,57.999791111797094,33923325
dataset_1_keyframe_1,000005,5,000004,000006,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,5,256,320,0.94405517578125,77337,1.0573796033859253,44.65262422902362,2.191706427712479,-0.96216881275177,1.0573796033859253,2.5,57.94007098302245,33923325
dataset_1_keyframe_1,000006,6,000005,000007,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,6,256,320,0.94398193359375,77331,1.0381720066070557,43.629333643687524,2.213859900945287,-0.9178248643875122,1.0381720066070557,2.4375,57.930818060413,33923325
dataset_1_keyframe_1,000007,7,000006,000008,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,7,256,320,0.9396484375,76976,1.0300012826919556,43.22516108917065,2.035699438786115,-0.908957839012146,1.0300012826919556,2.4375,57.95900896191597,33923325
dataset_1_keyframe_1,000008,8,000007,000009,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,8,256,320,0.9351318359375,76606,1.0726431608200073,47.03678563036838,1.9397958384460747,-0.9192381501197815,1.0726431608200073,2.4375,57.735687121748924,33923325
dataset_1_keyframe_1,000009,9,000008,000010,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,9,256,320,0.93154296875,76312,1.0152711868286133,43.2946325610651,1.9118880385784673,-0.8488155603408813,1.0152711868286133,2.375,57.87792894989252,33923325
dataset_1_keyframe_1,000010,10,000009,000011,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,10,256,320,0.9280517578125,76026,0.8822927474975586,33.50564280640834,1.4850182832188987,-0.6520376205444336,0.8822927474975586,2.125,57.86818382330239,33923325
dataset_1_keyframe_1,000011,11,000010,000012,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,11,256,320,0.9279052734375,76014,0.8932729363441467,34.08319520088405,1.552345620543584,-0.6720867156982422,0.8932729363441467,2.1875,57.691800873726606,33923325
dataset_1_keyframe_1,000012,12,000011,000013,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,12,256,320,0.92587890625,75848,0.9557828903198242,37.96540449319692,1.8167914776922267,-0.7498553991317749,0.9557828903198242,2.3125,57.759562972933054,33923325
dataset_1_keyframe_1,000013,13,000012,000014,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,13,256,320,0.9236328125,75664,1.0342278480529785,42.77992175935716,2.237523789384648,-0.8392680287361145,1.0342278480529785,2.4375,57.86440894007683,33923325
dataset_1_keyframe_1,000014,14,000013,000015,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,14,256,320,0.92236328125,75560,0.9804141521453857,39.101376389624136,2.169137109581789,-0.7494760155677795,0.9804141521453857,2.375,57.81682790257037,33923325
dataset_1_keyframe_1,000015,15,000014,000016,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,15,256,320,0.92030029296875,75391,0.7729619741439819,25.572017880118313,1.185817935827884,-0.43077340722084045,0.7729619741439819,1.9375,57.799000991508365,33923325
dataset_1_keyframe_1,000016,16,000015,000017,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,16,256,320,0.920556640625,75412,0.8070254921913147,28.905214024293212,1.0250358033204265,-0.4898834824562073,0.8070254921913147,1.9375,57.521166978403926,33923325
dataset_1_keyframe_1,000017,17,000016,000018,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,17,256,320,0.921044921875,75452,0.8576006889343262,32.180724169008116,1.4433017017441552,-0.5520455241203308,0.8576006889343262,2.0625,57.52563406713307,33923325
dataset_1_keyframe_1,000018,18,000017,000019,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,18,256,320,0.92044677734375,75403,0.9397470951080322,37.01576860337122,1.9283052398445684,-0.6556304097175598,0.9397470951080322,2.25,57.607063790783286,33923325
dataset_1_keyframe_1,000019,19,000018,000020,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,19,256,320,0.9189697265625,75282,0.919080913066864,35.898355516590954,1.6737068621981348,-0.6597277522087097,0.919080913066864,2.25,57.28646693751216,33923325
dataset_1_keyframe_1,000020,20,000019,000021,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/evaluation/s2m2_gt_refiner_targets_full/targets/dataset_1_keyframe_1.npz,20,256,320,0.91575927734375,75019,0.9184135794639587,35.19508391207561,1.9421746490888976,-0.6511821150779724,0.9184135794639587,2.25,57.671722024679184,33923325
