backbone,sequence,mean_update_magnitude
CREStereo,dataset_7_keyframe_1,0.029343133590393873
CREStereo,dataset_7_keyframe_1,0.02638732325709878
CREStereo,dataset_7_keyframe_1,0.029562749346513928
CREStereo,dataset_7_keyframe_1,0.031161434600090403
CREStereo,dataset_7_keyframe_1,0.03375793966276426
CREStereo,dataset_7_keyframe_1,0.033862119557168245
CREStereo,dataset_7_keyframe_1,0.038882932801177536
CREStereo,dataset_7_keyframe_1,0.04477166106615656
CREStereo,dataset_7_keyframe_1,0.04189310102112776
CREStereo,dataset_7_keyframe_1,0.04282750605398829
CREStereo,dataset_7_keyframe_1,0.0270260090810763
CREStereo,dataset_7_keyframe_1,0.04151678097911924
CREStereo,dataset_7_keyframe_1,0.04709241955003602
CREStereo,dataset_7_keyframe_1,0.05392358927332676
CREStereo,dataset_7_keyframe_1,0.04809652379280088
CREStereo,dataset_7_keyframe_1,0.036261211398288806
CREStereo,dataset_7_keyframe_1,0.04546828870601703
CREStereo,dataset_7_keyframe_1,0.04282874384913627
CREStereo,dataset_7_keyframe_1,0.03119651266125215
CREStereo,dataset_7_keyframe_1,0.032678112780588395
CREStereo,dataset_7_keyframe_1,0.03409622292617405
CREStereo,dataset_7_keyframe_1,0.01831760401741216
CREStereo,dataset_7_keyframe_1,0.029982831521999615
CREStereo,dataset_7_keyframe_1,0.029022773580735378
CREStereo,dataset_7_keyframe_1,0.017132943198689167
CREStereo,dataset_7_keyframe_1,0.012989646419123372
CREStereo,dataset_7_keyframe_1,0.014631019479964912
CREStereo,dataset_7_keyframe_1,0.010048301076899595
CREStereo,dataset_7_keyframe_1,0.01650612442581742
CREStereo,dataset_7_keyframe_1,0.021226803582884653
CREStereo,dataset_7_keyframe_1,0.017053591935848957
CREStereo,dataset_7_keyframe_1,0.014087649558087905
CREStereo,dataset_7_keyframe_1,0.011406705372012148
CREStereo,dataset_7_keyframe_1,0.013101043859952198
CREStereo,dataset_7_keyframe_1,0.017140884919277823
CREStereo,dataset_7_keyframe_1,0.01453263962419236
CREStereo,dataset_7_keyframe_1,0.012502103721937515
CREStereo,dataset_7_keyframe_1,0.011083778329028291
CREStereo,dataset_7_keyframe_1,0.01432273844599409
CREStereo,dataset_7_keyframe_1,0.030097882066384737
CREStereo,dataset_7_keyframe_1,0.03324156087073907
CREStereo,dataset_7_keyframe_1,0.026743581324639693
CREStereo,dataset_7_keyframe_1,0.03269122253703122
CREStereo,dataset_7_keyframe_1,0.03704811237590338
CREStereo,dataset_7_keyframe_1,0.03125395439900659
CREStereo,dataset_7_keyframe_1,0.04256161665792811
CREStereo,dataset_7_keyframe_1,0.03729182778418886
CREStereo,dataset_7_keyframe_1,0.04612501989768257
CREStereo,dataset_7_keyframe_1,0.048425600005359185
CREStereo,dataset_7_keyframe_1,0.07674223716897777
CREStereo,dataset_7_keyframe_1,0.05268153966030228
CREStereo,dataset_7_keyframe_1,0.03892615276834239
CREStereo,dataset_7_keyframe_1,0.061294409688027574
CREStereo,dataset_7_keyframe_1,0.03258605583831295
CREStereo,dataset_7_keyframe_1,0.01841912475563875
CREStereo,dataset_7_keyframe_1,0.036963981943374684
CREStereo,dataset_7_keyframe_1,0.03372904754290286
CREStereo,dataset_7_keyframe_1,0.025759966779736704
CREStereo,dataset_7_keyframe_1,0.019693872677174123
CREStereo,dataset_7_keyframe_1,0.027054812952080957
CREStereo,dataset_7_keyframe_1,0.024969807654430538
CREStereo,dataset_7_keyframe_1,0.020035899113404167
CREStereo,dataset_7_keyframe_1,0.02127065792889662
CREStereo,dataset_7_keyframe_1,0.02729719436797878
CREStereo,dataset_7_keyframe_1,0.022661058908796834
CREStereo,dataset_7_keyframe_1,0.027648499260241963
CREStereo,dataset_7_keyframe_1,0.025800761588815214
CREStereo,dataset_7_keyframe_1,0.03836286546642145
CREStereo,dataset_7_keyframe_1,0.03165255668788022
CREStereo,dataset_7_keyframe_1,0.025015584371992274
CREStereo,dataset_7_keyframe_1,0.02731014671266591
CREStereo,dataset_7_keyframe_1,0.026570302074065837
CREStereo,dataset_7_keyframe_1,0.036227519397192535
CREStereo,dataset_7_keyframe_1,0.032404815877128054
CREStereo,dataset_7_keyframe_1,0.019794990397185207
CREStereo,dataset_7_keyframe_1,0.03909971331793753
CREStereo,dataset_7_keyframe_1,0.024652966976933626
CREStereo,dataset_7_keyframe_1,0.04490577202141136
CREStereo,dataset_7_keyframe_1,0.026576032143540373
CREStereo,dataset_7_keyframe_1,0.04969135040932513
CREStereo,dataset_7_keyframe_1,0.028810646801290453
CREStereo,dataset_7_keyframe_1,0.04524269031343006
CREStereo,dataset_7_keyframe_1,0.04384887161618765
CREStereo,dataset_7_keyframe_1,0.04638968990241573
CREStereo,dataset_7_keyframe_1,0.04117334250848655
CREStereo,dataset_7_keyframe_1,0.028977945624103885
CREStereo,dataset_7_keyframe_1,0.011900947943244044
CREStereo,dataset_7_keyframe_1,0.020627437135760058
CREStereo,dataset_7_keyframe_1,0.013518987168337068
CREStereo,dataset_7_keyframe_1,0.02568158477802514
CREStereo,dataset_7_keyframe_1,0.017978048113461615
CREStereo,dataset_7_keyframe_1,0.04286126962444126
CREStereo,dataset_7_keyframe_1,0.03137951179090979
CREStereo,dataset_7_keyframe_1,0.05258113211655423
CREStereo,dataset_7_keyframe_1,0.056424050252945696
CREStereo,dataset_7_keyframe_1,0.0432847020459798
CREStereo,dataset_7_keyframe_1,0.03430748024948899
CREStereo,dataset_7_keyframe_1,0.03536741195186492
CREStereo,dataset_7_keyframe_1,0.03903366225996828
CREStereo,dataset_7_keyframe_1,0.03419224309317188
CREStereo,dataset_7_keyframe_1,0.0420163330078125
CREStereo,dataset_7_keyframe_1,0.029200689593242173
CREStereo,dataset_7_keyframe_1,0.04352697229126828
CREStereo,dataset_7_keyframe_1,0.0381955508781536
CREStereo,dataset_7_keyframe_1,0.031369850211550955
CREStereo,dataset_7_keyframe_1,0.032178441790557614
CREStereo,dataset_7_keyframe_1,0.030861562830238526
CREStereo,dataset_7_keyframe_1,0.034514453449593425
CREStereo,dataset_7_keyframe_1,0.02337674067459525
CREStereo,dataset_7_keyframe_1,0.025754954994414353
CREStereo,dataset_7_keyframe_1,0.025323568066534286
CREStereo,dataset_7_keyframe_1,0.026928759177555748
CREStereo,dataset_7_keyframe_1,0.03353582377602717
CREStereo,dataset_7_keyframe_1,0.031601939431638075
CREStereo,dataset_7_keyframe_1,0.03026176198277236
CREStereo,dataset_7_keyframe_1,0.024409657148983428
CREStereo,dataset_7_keyframe_1,0.031633353768181195
CREStereo,dataset_7_keyframe_1,0.037841218368825036
CREStereo,dataset_7_keyframe_1,0.028355134541694256
CREStereo,dataset_7_keyframe_1,0.03199719883605946
CREStereo,dataset_7_keyframe_1,0.028750467074028487
CREStereo,dataset_7_keyframe_1,0.051467206331736286
CREStereo,dataset_7_keyframe_1,0.031110505565466427
CREStereo,dataset_7_keyframe_1,0.03910940499141299
CREStereo,dataset_7_keyframe_1,0.04628960596372003
CREStereo,dataset_7_keyframe_1,0.0422478973207174
CREStereo,dataset_7_keyframe_1,0.04555793582026536
CREStereo,dataset_7_keyframe_1,0.03632990607081732
CREStereo,dataset_7_keyframe_1,0.04779718534255635
CREStereo,dataset_7_keyframe_1,0.04317699098948028
CREStereo,dataset_7_keyframe_1,0.04257577139128845
CREStereo,dataset_7_keyframe_1,0.024768550744217434
CREStereo,dataset_7_keyframe_1,0.03202480291255845
CREStereo,dataset_7_keyframe_1,0.030935932839690976
CREStereo,dataset_7_keyframe_1,0.03869201089734229
CREStereo,dataset_7_keyframe_1,0.03207913200248167
CREStereo,dataset_7_keyframe_1,0.025966006988519794
CREStereo,dataset_7_keyframe_1,0.029543516737063756
CREStereo,dataset_7_keyframe_1,0.028862533701053857
CREStereo,dataset_7_keyframe_1,0.02387617905532727
CREStereo,dataset_7_keyframe_1,0.024565038976965246
CREStereo,dataset_7_keyframe_1,0.030400298830701684
CREStereo,dataset_7_keyframe_1,0.024070525549802123
CREStereo,dataset_7_keyframe_1,0.028231437186183737
CREStereo,dataset_7_keyframe_1,0.02579340881285439
CREStereo,dataset_7_keyframe_1,0.023947631160741657
CREStereo,dataset_7_keyframe_1,0.02046193186604974
CREStereo,dataset_7_keyframe_1,0.0200033902160787
CREStereo,dataset_7_keyframe_1,0.024295978599546696
CREStereo,dataset_7_keyframe_1,0.02135332591003842
CREStereo,dataset_7_keyframe_1,0.021841739553265866
